"SHA","Message","","",""
"66fdc1fdbee7ecc2bbe1a4eee4d6ac9b2fd27359","Update src/vs/workbench/contrib/terminal/test/browser/quickFixAddon.test.ts","","",""
"b1c1b3bd3be77d38f65950b1da3a87cc3fcf08a1","Fix #162651 (#162848)","","",""
"159f94009bccf1f785032ff23cd1e5deadcd8af4","Fix #162652 (#162845)","","",""
"a8772add23122b5139aebb9433f85105bb502162","Fix #162333 (#162843)","","",""
"bfb1a738d1af124c9552118dfdf82e18b2587177","Fix markdown open preview opening duplicate preview (#162793)","","",""
"96af4b80eb3f6d3d9afb7f2386d23616f58a6fd7","Fix race when loading notebook webviews (#162472)","","",""
"2a0eb28cbc1b8654166d93502d4f5f99bb725b77","Fix classifier comments (#162667)","","",""
"bec1d5d1dc89da70f921cf5067dd0667b531ebb4","Fix references to non-existent `runTests` API (#162543)","","",""
"2ae09926ddbe9e6076a5736e3e393b614591dab9","Fixes #162553 (#162576)","","",""
"e36a81800fd6823851731d76b8494e832f551aa6","Fixes #160269 (#162557)","","",""
"f1789f1e30c0c53d5132d87c2ce3bc2b07348239","Fixes #162275","","",""
"bcb6c9b7e0e795bdf65ea440025d204060e4bfc8","Fix #159263 (#162402)","","",""
"c4c4814a826b0041135140a62cf2850c02109bf6","Fix #157623 (#162399)","","",""
"feb3d2d205dd292eedd80ccc8a5382046d9cda3a","Fix null ref in attachments check (#162396)","","",""
"261fc9995535a1fc92eeda91fd4a7fb6911c66a5","Fixes #162243 (#162376)","","",""
"7d3027e43cfa93effd21be49419461638f11df19","Fixes #161723 (#162374)","","",""
"203b26d182c608f796152762bb3656b797751a16","Fixes #161731 (#162372)","","",""
"46afa5b1080944f9e06557930367d8b5475e6453","Fixes #162043 by renaming ""Accept Merge"" to ""Complete Merge"" (#162361)","","",""
"f1d4fced59311fe26b512cb1bf39fff79dac8783","Fixes #162195 (#162353)","","",""
"43d851d1b0fcd99c2944432ce91ecb47c21c8b11","Fixes #162028 by improving merge editor tooltips","","",""
"2df70ee36682d9eaa3124990d13f0af93d0294b7","Fixes #162042 by removing CodeLens icons from merge editor actions (#162345)","","",""
"b29b217e36ce43101f67334c291386fd593d8493","Fixes #162027","","",""
"4bfd9eb6e66fc25eb7d5df55a31f455f1c9b1ab7","Fix https://github.com/microsoft/vscode/issues/162116 (#162244)","","",""
"8fcdf4e417597ad54341dc2811b2d5af89c99188","Fix #162046 (#162209)","","",""
"c72bd548732d338a1702ae5ab59edbf3e821a149","Fix #162049 (#162207)","","",""
"359a67e99f317755df280bf25956dae9de98ff04","Fix #162045 (#162205)","","",""
"29c5839eacc04b6e80178b6f5fabbb1bc95ec245","Fix matching against unwrapped lines","","",""
"7fc4f97bbb8e73e8bcabdfb47f1692e51edb9ea9","Fix #162103 (#162199)","","",""
"55a5e84230cf8f9072ed201156cfc0f24574e28f","Fixes #161967 (#162165)","","",""
"a1e8a52697de4c109391bdd443066da4e9b81f3a","Fixes conflict block rendering bug. (#162162)","","",""
"b0f88c162c745ceeea84bc970e6de1ee7fa1f381","Fixes #162005 (#162161)","","",""
"bc07a5d30c3c4bcda4199563bdac0a376909d937","Fix #161862 (#162156)","","",""
"b3434bf251f78f1fb0b7f50a8ba50e4f9e6bf55a","Fix #161868 (#162148)","","",""
"0e2340359e37b21efb8f8586e2c43d8ca8c03326","Fixes #162111","","",""
"352782487fcbfb0f390b0362f9b0496e1da72244","Fix #162134 (#162140)","","",""
"7b7f5a046646993c2b6ee00b76d4eef75a012341","Fix output sizing for multiline evaluation result (#162101)","","",""
"e1730b2f26afbf1e1e59f10c580480f97066b915","Fix https://github.com/microsoft/vscode/issues/162034","","",""
"3b395e29a1c968fcfa027b7446328dc3155b3efc","Fix https://github.com/microsoft/vscode/issues/161935","","",""
"e77c6d808a41718b7d1a0680bc19f1ac4aad7f6c","Fix extracting correct PID on Windows","","",""
"0994daba5c976d63b7986a7354a9baf021cc9313","Fix selection of notebook renderers for outputs  (#162068)","","",""
"2d6d6cd72a4b1099b2e0b85c6d0ba675395f064d","Fix free port quick fix on Windows","","",""
"8f439177663ad47f1ae607b412289d2fcab79ec8","Fix #161917. Bind pointer event listener on overview container (#162061)","","",""
"b4600dab2901669075f529744fabc5a9ec809b26","Fix audio mime type listing (#162063)","","",""
"83bbb3941f76c88678c280b0dd8225f03a5f78b3","Fix settings sync typo (#162050)","","",""
"dbfdbb223310e5bba9e8cf421e12e04f8c18a50d","Fix #161904 (#161927)","","",""
"8013a36ecaab31ebdb2719fe934a29ca9c3cd43a","Fix nb diff overview ruler scaling. (#161832)","","",""
"bcbf0d81275f2a5fa9df2acacb0fbf3ab64a6c24","Fix NotebookEditorModel#isResolved. Fix #161049. (#161829)","","",""
"045bed876d43c50635bbab06dbf71ee8de5c8a3b","Fixes #161725 (#161826)","","",""
"b8a7485526864d7c5dbfe209a74b7a5cc2932c61","Fix markdown preview refresh from disk (#161800)","","",""
"8985f5f61acd4eb96666acc8f9fda04bc0c8634a","Fix initial size doc (#161774)","","",""
"1a5c6ca518832ee088bbdcad1bd4852e517446b9","Fix TestShellIntegrationAddon ctor args","","",""
"3cd0a7f71255b41a6ee353f13e49d57d35127db0","Fix an issue where multiple tabs could open on ext .show()","","",""
"f8f228db6ca8b18079907e057ec625abb9ac169a","Fix some potential causes of #161520 (#161550)","","",""
"7872b085ca29a35ef63d1b6accece221ec5c748b","Fix eslint warning by removing unused getter","","",""
"f8096841e1a481410ad2bcc3737097dff09e21ea","Fixes #161572","","",""
"e531b8e963806dfadbd73b10c02785c75ffb8cab","Fix undo redo stops when copy paste / drop creates a new file (#161536)","","",""
"ba4d44d30c95cc1d2e8cce77c7c1596756a76945","Fix duplicate checkmark (#161454)","","",""
"023930e3dc3a0c0a0db8a02cca0da13c9187f576","Fix extra dot in pasted file names (#161434)","","",""
"e09c5ce190301e493d02e3b00bccd65121d82bcb","Fix wrong matches in multiline file search (#160665)","","",""
"aced4b9e096300265263aeb7d8f8903671a97e97","Fix instanciation of extensions for tests","","",""
"a5f5a730d6b7907d376abafca08888f3de87a51c","Fix hiding of image preview status bar items (#161278)","","",""
"5cde74b7679787034738763c26932988533f9894","Fix accidental case fallthroughs in experimentation services. (#161339)","","",""
"ba7d2622c6df0ce7ff9a723ca4ceea3ffa1cc272","Fix error while executing contributed menu command in ports/item/context (#161295)","","",""
"f93071d65c096b42c2a5dbacd0e51ebe77d64b2f","Fix duplicate element in notebook (#161276)","","",""
"0b0741b758b62729606f8b0483908acd156eb288","Fix color of quick fixes (#161006)","","",""
"0f05c6dd4f148c8fd4d195146927e61841e12f66","Fix #160729. Disable workspace md paste handler for notebook. (#160833)","","",""
"6835a98d4a23f60caed7b5b660dbdaa9c443d13e","Fix branch checkout after git clone (#160922)","","",""
"6af5ce75ffe07dc9193890056340f328761dc5ee","Fix esbuild warning","","",""
"07d06e89e583090ec6f6cc8db44fa2036db7f6c1","Fix Continue On when target URI already has a query param (#160945)","","",""
"322913b197e4d243506fe8d56d378554b8659b31","Fix Continue On when there is currently no edit session and the user has turned on edit sessions (#160932)","","",""
"2cf74682891b14c8416ff9970ce21b6077f15221","Fix markdown server deleting documents on close if they still exist on disk (#160859)","","",""
"3e9188f299055db6a6cf2bf9984da3e05df434b0","ðŸ› Fix missing variable definition","","",""
"927efdf62982db063224dbef11c653ae50df1f31","Fix xterm-headless version","","",""
"32579e941f309b026474679c4e039822a1e9f3b8","Fix explorer.excludeGitIgnore exclusion bug (#160611)","","",""
"4a2c1560948d85cc51fd1b1307d214ed4cbe03ec","Fix debug console sometimes not autoscrolling with wordwrap disabled. (#160623)","","",""
"4ee6836daffb3d7124bf1f5cc9f5a90ab426f3ce","Fix multiline strings not rendered correctly in console when wordwrap disabled (#160622)","","",""
"c3a1a7b3630dbdd59a15337f0c41af0a15e64bbd","Fix ViewColumn handling in terminal editors","","",""
"fcde8c40d199dd3733f3b01830fa8a7a6ea44124","Fixes view zone alignment edge case (#160495)","","",""
"4b4a52059cfc34cc06418ba7547d55962074a422","Fix keyboard navigation to open tree elements (#160401)","","",""
"39f3ab5b534222463f8ac77491da4e202d06512b","Fix #159447 (#160310)","","",""
"c399c8cce7cbd78529c8f0fddeb02c6161e46e8d","Fixes #160276 (#160299)","","",""
"401189ef31a9c20420216c41a1ff2d8c844d0791","Fixes #159155 (#160293)","","",""
"50140a53cc2088f478a5560683ccd354f2d5f431","Revert ""Fix language-specific tab expansion and polish (#157035)"" (#160233)","","",""
"c2cc481940d538a41c311411484ffc909b8054b8","Fixes context menu bug (#160195)","","",""
"12185baa0f20223198b08f0496a646c648559165","Fixes merge editor decoration bug (#160158)","","",""
"74f5cb8718d0f012e5d6d54762b368ad90f81a6d","Fix Continue On for contributions which don't return a URI (#160004)","","",""
"366a95d63e8fe059efeee090a545214d6c8fe28e","Adds an optional base view to the merge editor. Fixes #155277.","","",""
"d9ffee469d31f8962379d214b9393e7c0b452621","Fixes CI","","",""
"c31f513ed0a3035db288c46cb6f221998f46a48c","Fix instance disposables registration","","",""
"394bc8051399025227a36ee3063f8086a1ae81d9","Fix remote fish shell integration path","","",""
"45c877ca507c48ca90accf20e700a203de2c0c19","Fix Windows tests running on Linux","","",""
"30075fd0f7d021be4ab039e29e792e7a9171cf0d","Fix #159675 (#159866)","","",""
"b108bc8294ce920fcf2ee8d53f97c3bcf3316e1c","Fixes broken web telemetry (#159712)","","",""
"0ab95062ca353af690297af31bb2719e78de6864","Fix sticky tabs option","","",""
"e538a75a3ac5d2868a1dedb1b38e97a5cdeb2e45","Fix links without separators not opening files directly on exact match","","",""
"1de34ba70ae1e332fbe9e8c3477d43185423ddb0","Fix terminal opening when multiple users are connected via remote-ssh","All CLA requirements met.","",""
"dbfbebf5c022859b0baae385434c9bbbc4d68208","Fix x button overlapping (#159603)","","",""
"2ffd80aa97a762dd4c3e595fb3eb998203732fcd","Fix error telemetry","success","",""
"71c216d91feecec286c7f0b7fb0a492c6873bf28","Fix lint errors in our npm scripts (#159501)","","",""
"9e5248072aa783958d41308f515d6d04aa5f3ebe","Fix ts-node for eslint (#159483)","","",""
"d9b115e6a69e3e3dbf68e07e7e88750bb5793f64","Fixes #145865","","",""
"f5ef1c2661a88fd5c5b102831bab6984e8c5b7f6","Fixes broken image resources in getting started walktrough (#159144)","","",""
