3.x: Merge as() into to() (#6514)
Merge pull request #3260 from akarnokd/BehaviorSubject2x
Merge pull request #3259 from akarnokd/RxJavaPlugins2x
Merge pull request #3258 from akarnokd/ReplaySubject2x
Merge pull request #3257 from akarnokd/OperatorTimeout2x
Merge pull request #3255 from akarnokd/OperatorScan
Merge pull request #3254 from akarnokd/OperatorDebounce2x
Merge pull request #3253 from akarnokd/OperatorWindowTimed2x
Merge pull request #3251 from akarnokd/OperatorWindowSized2x
Merge pull request #3250 from akarnokd/OperatorBufferWithPublisher2x
Merge pull request #3248 from akarnokd/OperatorBuffer2x
Merge pull request #3247 from akarnokd/UnicastSubject2x
Merge pull request #3246 from akarnokd/OperatorRefCount2x
Merge pull request #3245 from akarnokd/BlockingObservablePart2x
Merge pull request #3244 from akarnokd/OperatorsDerivedPack2x
Merge pull request #3243 from akarnokd/OperatorMaterialize2x
Merge pull request #3242 from akarnokd/OperatorUsing2x
Merge pull request #3241 from akarnokd/PublisherCombineLatest2x
Merge pull request #3240 from akarnokd/OperatorSequenceEquals2x
Merge pull request #3239 from akarnokd/OperatorTakeWhile2x
Merge pull request #3238 from akarnokd/OperatorRedo
Merge pull request #3237 from akarnokd/OperatorOnErrorNext
Merge pull request #3235 from akarnokd/OperatorAmb2x
Merge pull request #3234 from akarnokd/OperatorSwitchMap2x
Merge pull request #3232 from akarnokd/OperatorFirstLast2x
Merge pull request #3231 from akarnokd/OperatorTimedLastSkipTake2x
Merge pull request #3230 from akarnokd/OperatorSwitchIfEmpty2x
Merge pull request #3229 from akarnokd/OperatorSample2x
Merge pull request #3228 from akarnokd/ConditionalSubscriber2x
Merge pull request #3227 from akarnokd/Collect2xJavacWorkaround
Merge pull request #3226 from akarnokd/OperatorCollect2x
Merge pull request #3225 from akarnokd/OperatorDoOn2x
Merge pull request #3224 from akarnokd/OperatorDistinct2x
Merge pull request #3223 from akarnokd/OperatorPack2x1
Merge pull request #3222 from akarnokd/WithLatestFrom2x
Merge pull request #3215 from akarnokd/OperatorZip2x
Merge pull request #3212 from akarnokd/OperatorGroupBy2x
Merge pull request #3209 from akarnokd/OperatorOnBackpressure2x
Merge pull request #3208 from akarnokd/IntervalSource2x
Merge pull request #3207 from akarnokd/OperatorRepeat2xPart1
Merge pull request #3206 from akarnokd/TestSubscriber2x
Merge pull request #3205 from akarnokd/LambdaSubscribe2x
Merge pull request #3204 from akarnokd/OperatorConcatMap2x
Merge pull request #3202 from akarnokd/ScheduleOn2x
Merge pull request #3200 from akarnokd/SchedulersRest2x
Merge pull request #3199 from akarnokd/OperatorsAnyAllCount2x
Merge pull request #3198 from akarnokd/OperatorsPublishReplay
Merge pull request #3197 from akarnokd/OperatorToList2x
Merge pull request #3196 from akarnokd/OperatorSkip2xMethods
Merge pull request #3195 from akarnokd/OperatorSkip2x
Merge pull request #3194 from akarnokd/OperatorTake2x
Merge pull request #3193 from akarnokd/ConnectableObservable2x
Merge pull request #3191 from akarnokd/OperatorFlatMap2x
Merge pull request #3190 from akarnokd/BasicSubscribers
Merge pull request #3189 from akarnokd/BasicPublisherSources
Merge pull request #3188 from akarnokd/SchedulersBaseAPI
Merge pull request #3186 from akarnokd/InternalDisposables
Merge pull request #3185 from akarnokd/PublishSubject2x
Merge pull request #3172 from akarnokd/RsDependency
Merge pull request #3175 from akarnokd/InternalInfrastructure
Merge pull request #3142 from artem-zinnatullin/actions-redundant-final
Merge pull request #3138 from akarnokd/RangePerf
Merge pull request #3137 from akarnokd/FromIterablePerf
Merge pull request #3078 from davidmoten/switch-fix
Merge pull request #3112 from akarnokd/TestCoverageObservers
Merge pull request #3123 from jacek-rzrz/1.x
Merge pull request #3104 from davidmoten/synchronized-queue-equals
Merge pull request #3147 from artem-zinnatullin/unnecessary-static-modifier
Merge pull request #3144 from artem-zinnatullin/remove-redundant-cast-in-exceptions
Merge pull request #3143 from artem-zinnatullin/backpressure-utils-javadoc-fix
Merge pull request #3141 from akarnokd/SchedulerLeakCheck
Merge pull request #3082 from stealthcode/conversion
Merge pull request #3103 from davidmoten/materialize-backp
Merge pull request #3121 from artem-zinnatullin/android-setRemoveOnCancelPolicy
Merge pull request #3120 from ypresto/no-interrupt-for-sync
Merge pull request #3117 from akarnokd/OperatorReplayRewrite4
Merge pull request #3116 from akarnokd/OperatorCacheRewrite4
Merge pull request #3110 from akarnokd/TestCoverageFunctions
Merge pull request #3109 from akarnokd/InternalUtilAtomicTests
Merge pull request #3108 from davidmoten/remove-operator-on-error-flatmap
Merge pull request #3077 from ReactiveX/PLP
Merge pull request #3079 from davidmoten/foreach-javadoc
Merge pull request #3085 from davidmoten/on-drop-test-fix
Merge pull request #3086 from davidmoten/exec-sched-test-timing
Merge remote-tracking branch 'origin/1.x' into PLP
Merge pull request #3093 from akarnokd/MergeAsyncTest
Merge pull request #3092 from benjchristensen/single-toObservable
Merge pull request #3081 from abersnaze/cache-rollback
Merge pull request #2928 from akarnokd/OperatorMergeFullRewrite
Merge fully rewritten and other related optimizations
Merge pull request #3023 from akarnokd/AutoConnect
Merge pull request #3045 from akarnokd/ElementAtImprovement
Merge pull request #3047 from akarnokd/OperatorReplayBackpressure
Merge pull request #3048 from akarnokd/CompositeExceptionNull
Merge pull request #3055 from davidmoten/single-subscribe-fix
Merge pull request #3058 from davidmoten/subscriber-javadoc
Merge pull request #3065 from davidmoten/subscribers-wrap
Merge pull request #3069 from ReactiveX/PLP
Merge pull request #3049 from tilal6991/1.x
Merge pull request #3042 from davidmoten/default-if-empty-backp-2
Merge pull request #3043 from davidmoten/test-subscriber-javadoc
Merge pull request #3033 from davidmoten/take-last-javadoc
Merge pull request #3034 from davidmoten/empty-2
Merge pull request #3031 from benjchristensen/fix-flatMapIntPassthruAsync
Merge pull request #3029 from akarnokd/TabsReplacedWithSpaces
Merge pull request #2997 from davidmoten/redo-fix-2
Merge pull request #2969 from akarnokd/OperatorCacheRewrite2
Merge pull request #2995 from davidmoten/switch-overflow
Merge pull request #2982 from davidmoten/test-sub-factory-methods
Merge pull request #2975 from abersnaze/interval
Merge pull request #2970 from akarnokd/BackpressureBlockDeprecated
Merge pull request #2972 from akarnokd/WindowUnsubscribeToComplete
Merge pull request #3018 from davidmoten/ts-await-bug
Merge pull request #3019 from ReactiveX/PLP
Merge pull request #3012 from benjchristensen/single-type
Merge pull request #2990 from davidmoten/subscriber-readability
Merge pull request #3009 from davidmoten/from-iter-bug
Merge pull request #3001 from davidmoten/use-subscribers-from
Merge pull request #3000 from zsxwing/java6
Merge pull request #2999 from zsxwing/assert-error
Merge pull request #2996 from davidmoten/switch-if-empty-request-bug
Merge pull request #2993 from davidmoten/take-while-cause
Merge pull request #2992 from davidmoten/error-cause-primitives
Merge pull request #2991 from davidmoten/take-until-predicate-last-cause
Merge pull request #2989 from davidmoten/take-request-bug
Merge pull request #2988 from davidmoten/any-backp
Merge pull request #2987 from davidmoten/skip-bug
Merge pull request #2986 from davidmoten/all-backp
Merge pull request #2985 from davidmoten/serialize-fix
Merge pull request #2960 from davidmoten/concat-race
Merge pull request #2961 from davidmoten/amb-bug
Merge pull request #2966 from ReactiveX/javadocs
Merge pull request #2963 from ReactiveX/StandardProducers
Merge pull request #2948 from ReactiveX/TestSubscriberPlus
Merge pull request #2956 from davidmoten/observe-on-unsub
Merge pull request #2951 from davidmoten/concat-request-overflow
Merge pull request #2950 from davidmoten/group-by-request-overflow
Merge pull request #2949 from davidmoten/jacoco-disable
Merge pull request #2923 from akarnokd/OnBackpressureLatest
Merge pull request #2871 from davidmoten/explicit-version
Merge pull request #2872 from rspieldenner/sonatype_sync
Merge pull request #2929 from davidmoten/observe-on-race
Merge pull request #2937 from davidmoten/findbugs
Merge pull request #2940 from tomrozb/localHasValue-always-true
Merge pull request #2938 from jacek-marchwicki/combine-last-overflow
Merge pull request #2936 from jacek-marchwicki/fix-observer-bug
Merge pull request #2820 from akarnokd/WindowWithSizeBackpressure
Merge pull request #2814 from akarnokd/OperatorPublishRewrite
Merge pull request #2921 from davidmoten/observe-on-request-overflow
Merge pull request #2901 from akarnokd/ToSortedListBackpressure
Merge pull request #2883 from akarnokd/ExtendedSubjectAPI
Merge pull request #2915 from davidmoten/ignore-elements-singleton
Merge pull request #2914 from davidmoten/take-last-one
Merge pull request #2911 from akarnokd/OperatorPublishPerf
Merge pull request #2905 from davidmoten/single-singleton
Merge pull request #2904 from davidmoten/take-last-queue-producer-request-overflow
Merge pull request #2897 from alexwen/window_overlap
Merge pull request #2902 from davidmoten/exceptions-test
Merge pull request #2880 from davidmoten/reduce-optimization
Merge pull request #2899 from davidmoten/from-iter-eager-complete
Merge pull request #2898 from davidmoten/range-eager-complete
Merge pull request #2895 from davidmoten/from-iter-race
Merge pull request #2892 from davidmoten/range-race
Merge pull request #2882 from davidmoten/scan-fix
Merge pull request #2866 from davidmoten/Action1-argument-name
Merge pull request #2867 from davidmoten/remove-unused
Merge pull request #2862 from davidmoten/test-warnings
Merge pull request #2864 from davidmoten/main-warnings
Merge pull request #2861 from davidmoten/zipRace-fix
Merge pull request #2860 from davidmoten/OperatorSingle-request-accounting
Merge pull request #2859 from davidmoten/doOnRequest-fix-2
Merge pull request #2851 from zsxwing/fix-debounce
Merge pull request #2838 from avram/patch-1
Merge pull request #2825 from fatroom/repeat_javadoc
Merge pull request #2831 from akarnokd/OnBackpressureDropWithActionReduced
Merge pull request #2632 from simonbasle/plugErrorRenderer
Merge pull request #2807 from artem-zinnatullin/correct-interfaces
Merge pull request #2823 from rspieldenner/maven_sync
Merge pull request #2804 from akarnokd/Perf0225
Merge pull request #2776 from stevenzwu/issues-2764
Merge pull request #2788 from zsxwing/publish-no-subscriber
Merge pull request #2777 from stevenzwu/typo
Merge pull request #2779 from davidmoten/connect-returns-null
Merge pull request #2767 from akarnokd/ScalarScheduleOn
Merge pull request #2771 from davidmoten/range-request-overflow
Merge pull request #2770 from davidmoten/onBackpressureDrop-request-overflow
Merge pull request #2769 from davidmoten/combineLatest-request-overflow
Merge pull request #2760 from akarnokd/WithLatestFrom
Merge pull request #2762 from akarnokd/SubscriptionOpt
Merge pull request #2759 from davidmoten/using-redev
Merge pull request #2655 from akarnokd/Issue2654
Merge pull request #2627 from akarnokd/FlatMapMaxConcurrent
Merge pull request #2601 from akarnokd/CommonUnsubscribeThrow
Merge pull request #2580 from akarnokd/ComputationSchedulerConfig
Merge pull request #2644 from jtulach/MissingClassThrowsError
Merge pull request #2642 from zsxwing/fix-memory-leak
Merge pull request #2622 from akarnokd/EmptyObservable
Merge pull request #2607 from davidmoten/refcount-comments
Merge pull request #2595 from benjchristensen/release-via-travis
Merge pull request #2594 from benjchristensen/test-subscriber
Merge pull request #2567 from akarnokd/RefCountDisconnectOnTerminalEvent
Merge pull request #2493 from akarnokd/OperatorDoTakeWhile
Merge pull request #2591 from akarnokd/NewThreadSchedulerSyskey
Merge pull request #2585 from akarnokd/switch_if_empty
Merge pull request #2583 from akarnokd/SubscriptionPerfs
Merge pull request #2578 from ReactiveX/revert-2575-subscribeOn_subscription
Merge pull request #2575 from abersnaze/subscribeOn_subscription
Merge pull request #2561 from akarnokd/JCToolsUpdate0129
Merge pull request #2574 from jnpr-jalandip/1.x
Merge pull request #2559 from davidmoten/from-iter-request-overflow
Merge pull request #2572 from akarnokd/TestsMoreTime
Merge pull request #2563 from akarnokd/RetryBackpressureParallelTestChange
Merge pull request #2565 from akarnokd/TestObstructionDetection
Merge pull request #2540 from akarnokd/MergeMaxConcurrentBackpressure
Merge pull request #2553 from akarnokd/RxRingBufferSynchronized
Merge pull request #2470 from akarnokd/SubjectAdditionalMethods
Merge pull request #2550 from davidmoten/request-additive
Merge pull request #2548 from davidmoten/request-check
Merge pull request #2543 from davidmoten/merge-request-overflow
handle request overflow for OperatorMerge
Merge pull request #2465 from akarnokd/SchedulerPurgeForJDK6
Merge pull request #2547 from davidmoten/fix-more-warnings
Merge with max concurrency now supports backpressure.
Merge pull request #2471 from jnlopar/fix1702
Merge: fixed hangs & missed scalar emissions
Merge pull request #1840 from roman-mazur/unsubscribe-on-interrupt
Merge pull request #2238 from zsxwing/issue2191
Merge pull request #2447 from jnlopar/1.x
Merge pull request #2335 from akarnokd/StatelessOperators
Merge pull request #2474 from akarnokd/MergeTestTimeout
MergeTest.testConcurrency timeout to let other tests run
Merge pull request #2455 from duncani/Issue#2191
Merge branch 'fix1702' of https://github.com/jnlopar/RxJava into fix1702
Merge pull request #2469 from zsxwing/file-permission
Merge pull request #2244 from davidmoten/take-last-unsub
Merge pull request #2237 from benjchristensen/publish-ring-buffer-usage
Merge pull request #2052 from davidmoten/make-class-static
Merge pull request #2156 from zsxwing/map-swallow-fatal-exceptions
Merge pull request #1967 from zsxwing/fix-groupby-unsubscribe
Merge pull request #1965 from zsxwing/fix-sample-unsubscribe
Merge pull request #1966 from zsxwing/fix-groupby-null-key
Merge pull request #1964 from zsxwing/fix-buffer-request
Merge pull request #1957 from zsxwing/fix-scan
Merge pull request #1950 from zsxwing/unsubscribed
Merge pull request #1968 from ReactiveX/bump-to-2.2
Merge pull request #1961 from benjchristensen/issue-1941-remove-request-batching
Remove Request Batching in Merge
Merge pull request #1960 from benjchristensen/doOnRequest
Merge pull request #1952 from zsxwing/remove-action-subscription
Merge pull request #1951 from abersnaze/unnecessary
Merge pull request #1946 from akarnokd/AbstractOnSubscribe2
Merge pull request #1928 from srvaroa/1.x
Merge pull request #1926 from zsxwing/fix-merge-finally
Merge pull request #1922 from akarnokd/SchedulersRemoveOnCancelPolicy
Merge pull request #1918 from ReactiveX/revert-1916-experimentalOnBackpressureBufferWithCapacity
Merge pull request #1916 from benjchristensen/experimentalOnBackpressureBufferWithCapacity
Merge branch '1.x' of github.com:srvaroa/RxJava into experimentalOnBackpressureBufferWithCapacity
Merge pull request #1907 from benjchristensen/onBackpressureBlock
Merge pull request #1911 from akarnokd/AtomicPerf
Merge branch 'OnBackpressureBlock' of github.com:akarnokd/RxJava into onBackpressureBlock
Merge pull request #1905 from benjchristensen/lifecycle-annotations
Merge pull request #1904 from zsxwing/fix-scan
Merge pull request #1898 from akarnokd/ScheduledActionNoInterrupt
Merge pull request #1903 from benjchristensen/testscheduler-1790
Merge pull request #1884 from benjchristensen/mutable-collect-scan-reduce
Merge pull request #1882 from benjchristensen/scheduler-parallelism
Merge pull request #1834 from benjchristensen/toSerializedSubject
Merge pull request #1832 from benjchristensen/thread-interrupts-take
Merge pull request #1835 from benjchristensen/reduce-scan-mutable-seed
Merge pull request #1836 from benjchristensen/ring-buffer-size
Merge pull request #1833 from benjchristensen/window-tweaks
Merge pull request #1827 from alexwen/1826_scheduler_termination
Merge pull request #1830 from benjchristensen/313-mergeDelayError
Merge pull request #1829 from benjchristensen/1546-window
Merge pull request #1819 from benjchristensen/issuje-1818-concat
Merge pull request #1817 from benjchristensen/lift-error-handling
Merge pull request #1813 from zsxwing/issue1812
Merge pull request #1809 from benjchristensen/1797-utility-functions
Merge pull request #1806 from benjchristensen/remove-utilities
Merge pull request #1808 from jparise/readme-clojure-link
Merge pull request #1802 from simonbasle/hasObservers
Merge pull request #1803 from edenman/1.x
Merge pull request #1796 from benjchristensen/testsubject-javadoc
Merge pull request #1788 from benjchristensen/1785-remove-publish-overloads
Merge pull request #1793 from benjchristensen/1791_first_with_retryWhen
Merge pull request #1789 from benjchristensen/1668-groupedObservable
Merge pull request #1787 from benjchristensen/1782-remove-withIndex
Merge pull request #1786 from benjchristensen/1779-multicast
Merge pull request #1784 from benjchristensen/publish-backpressure
Merge pull request #1777 from abersnaze/javadoc-exclude
Merge pull request #1778 from zsxwing/compose
Merge pull request #1776 from benjchristensen/compose-generics
Merge pull request #1771 from neerajrj/onErrorReturnBackpressure
Merge pull request #1767 from loganj/uncaught_executor
Merge pull request #1768 from benjchristensen/onErrorTests
Merge pull request #1765 from neerajrj/onErrorResumeBackpressure
Merge pull request #1766 from loganj/uncaught
Merge pull request #1763 from benjchristensen/cleanup-refCount-tests
Merge pull request #1757 from akarnokd/Cleanup_Override_n_SuppressWarnings
Merge pull request #1755 from benjchristensen/issue1688
Merge pull request #1752 from akarnokd/Cleanup_Headers_n_Casts
Merge pull request #1750 from zsxwing/OnSubscribeFromIterabl-NPE
Merge pull request #1751 from akarnokd/Remove_unused
Merge pull request #1749 from benjchristensen/buffer-empty
Merge pull request #1747 from akarnokd/Cleanup_Utility_Classes
Merge pull request #1745 from benjchristensen/serialized-subject
Merge pull request #1746 from benjchristensen/issue-1682
Merge pull request #1743 from benjchristensen/issue-1685
Merge pull request #1742 from benjchristensen/issue-1571
Merge pull request #1740 from benjchristensen/countLong
Merge pull request #1736 from benjchristensen/issue-1702
Merge pull request #1738 from benjchristensen/issue-1724
Merge pull request #1739 from benjchristensen/observeOn-testErrorPropagatesWhenNoOutstandingRequests
Merge pull request #1733 from benjchristensen/clean-stray-file
Merge pull request #1731 from benjchristensen/issue-1525
Merge pull request #1729 from benjchristensen/combineLatest-1717
Merge pull request #1728 from benjchristensen/observeOnErrorPropagation
Merge pull request #1727 from benjchristensen/groupByWithBackpressure
Merge pull request #1726 from benjchristensen/fix-merge-1723
Merge pull request #1720 from abersnaze/dematerize-reWhen
Merge pull request #1719 from abersnaze/onBackpressure-request-max
Merge pull request #1716 from benjchristensen/remove-parallel
Merge pull request #1714 from benjchristensen/merge-20
Merge pull request #1683 from benjchristensen/observeOn-error
Merge pull request #1713 from benjchristensen/tweak-pull-1705-fix
Merge pull request #1705 from edenman/1.x
Merge pull request #1687 from jbripley/opt-empty
Merge pull request #1672 from benjchristensen/merge-0_20_4
Merge pull request #1665 from loganlinn/patch-1
Merge pull request #1652 from benjchristensen/1.x-scan-backpressure-fix
Merge pull request #1645 from benjchristensen/remove-parallel-merge
Remove ParallelMerge
Merge pull request #1644 from benjchristensen/nebula-build
Merge pull request #1639 from benjchristensen/doOnEach-error-swallowing
Merge pull request #1638 from benjchristensen/composite-exception
Merge pull request #1635 from daschl/blockingperf
Merge pull request #1621 from benjchristensen/deprecation-removal
Merge pull request #1615 from abersnaze/migrate-rx-string
Merge pull request #1613 from daschl/more-namespace-changes
Merge pull request #1610 from benjchristensen/multicast-without-factory
Merge pull request #1611 from benjchristensen/superfluous-overloads
Merge pull request #1592 from benjchristensen/using-1466
Merge pull request #1609 from zsxwing/rxscala-backpressure
Merge pull request #1608 from davidmoten/window-add-overload
Merge pull request #1601 from zsxwing/rxscala-multicast
Merge pull request #1605 from jbripley/rxscala-retrywhensignature
Merge pull request #1597 from GeorgiKhomeriki/master
Merge pull request #1599 from davidmoten/reuse
Merge pull request #1598 from jbripley/rxscala-doonunsubscribe
Merge pull request #1600 from jbripley/rxscala-javadocfixes
Merge pull request #1602 from abersnaze/consistent-retrywhen
Merge pull request #1593 from benjchristensen/doOnSubscribe
Merge pull request #1589 from g9yuayon/operatorOnUnsubscribed
Merge pull request #1586 from jbripley/rxscala-just
Merge pull request #1587 from jbripley/rxscala-replace-deprecated
Merge pull request #1545 from ronshapiro/master
Merge pull request #1576 from benjchristensen/from-items
Merge pull request #1583 from benjchristensen/repeat-concat
Merge pull request #1582 from benjchristensen/groupedObservable-from
Merge pull request #1581 from benjchristensen/zip-zipWith
Merge pull request #1577 from zsxwing/compose-covariance
Merge pull request #1569 from benjchristensen/compose-transformer-variance
Merge pull request #1575 from benjchristensen/combineLatest-backpressure
Merge pull request #1573 from benjchristensen/parallel-backpressure
Merge pull request #1572 from benjchristensen/remove-toBlocking-timeout
Merge pull request #1570 from daveray/rx-clj-fix-mapcat
Merge pull request #1568 from benjchristensen/compose-transformer
Merge pull request #1567 from benjchristensen/groupBy-selector
Merge pull request #1565 from benjchristensen/kotlin-defer
Merge pull request #1507 from zsxwing/backpressure-bufferWithSize
Merge pull request #1557 from zsxwing/backpressure-switch
Merge pull request #1562 from zsxwing/backpressure-takeLastTimed
Merge pull request #1564 from zsxwing/rxscala-completeness
Merge pull request #1548 from stealthcode/BPRedo
Merge pull request #1559 from mattrjacobs/scheduler-plugin
Merge pull request #1561 from benjchristensen/issue-1157-defer
Merge pull request #1537 from GeorgiKhomeriki/master
Merge pull request #1560 from benjchristensen/flatMap-mergeMap
Merge pull request #1558 from benjchristensen/issue-1550
Merge branch 'master' of https://github.com/Netflix/RxJava into docs
Merge pull request #1552 from abersnaze/most-recent-null
Merge pull request #1555 from jbripley/rxscala-retrywhen
Merge pull request #1534 from benjchristensen/concat-backpressure
Merge pull request #1533 from benjchristensen/issue-1516
Merge pull request #1527 from mattrjacobs/reduce-fails-on-backpressure
Merge pull request #1528 from Yarikx/android-broadcasts-rebased
Merge pull request #1523 from zsxwing/issue-1522
Merge pull request #1530 from zsxwing/issue-merge
Merge pull request #1526 from benjchristensen/ring-buffer-queue
Merge pull request #1468 from zsxwing/rxscala-completeness
Merge pull request #1515 from benjchristensen/multicast-factory
Merge pull request #1518 from SeanPONeil/typo_fixes
Merge pull request #1521 from benjchristensen/issue-1450
Merge pull request #1520 from benjchristensen/issue-1429
Merge pull request #1519 from benjchristensen/jruby-docs
Merge pull request #1513 from benjchristensen/to-list-copy
Merge pull request #1501 from benjchristensen/blocking-next
Merge pull request #1504 from benjchristensen/issue-1218
Merge pull request #1499 from benjchristensen/retryTest-iterativeBackoff
Merge pull request #1498 from benjchristensen/testUserSubscriberUsingRequestAsync
Merge pull request #1497 from benjchristensen/ring-buffer
Merge pull request #1495 from puniverse/master
Merge pull request #1496 from benjchristensen/ring-buffer
Merge pull request #1494 from benjchristensen/zip-with
Merge pull request #1493 from benjchristensen/retry_repeat-when
Merge pull request #1491 from benjchristensen/concat-backpressure-outer
Merge pull request #1490 from benjchristensen/unit-tests
Merge pull request #1489 from benjchristensen/terminal-operator-backpressure
Merge pull request #1474 from mattrjacobs/ignore-backpressure-operator-tosortedlist
Merge pull request #1473 from mattrjacobs/handle-backpressure-in-any-operator
Merge pull request #1472 from mattrjacobs/add-unit-test-to-operator-all
Merge pull request #1469 from mattrjacobs/fix-tolist-backpressure
Merge pull request #1467 from benjchristensen/cache-docs
Merge pull request #1393 from gliptak/cachehint
Merge pull request #1431 from tomrozb/composite-exception
Merge pull request #1436 from gliptak/genericswarnings
Merge pull request #1463 from benjchristensen/merge-1420
Merge Bug: Missing Emissions
Merge pull request #1462 from benjchristensen/merge-perf-fix
Merge pull request #1459 from benjchristensen/remove-onSetProducer
Merge branch 'remove-onsetproducer' of github.com:abersnaze/RxJava into remove-onSetProducer
Merge pull request #1458 from benjchristensen/remove-pivot
Merge pull request #1457 from benjchristensen/mergeDelayError-backpressure
MergeDelayError & OnErrorFlatMap w/ Merge
Merge pull request #1453 from spodila/takeWhileFailure
Merge pull request #1454 from zsxwing/issue1451
Merge pull request #1446 from benjchristensen/zip-backpressure
Merge pull request #1448 from zsxwing/rxscala-more
Merge pull request #1443 from benjchristensen/request-long-max-value
Merge pull request #1442 from benjchristensen/merge-bug
