Merge branch 'roller/chromium/master'
Merge branch 'master' into roller/chromium/master
Merge pull request #14144 from electron/jumbo-gn-release-builds
Merge pull request #14132 from electron/fix-crashreporter-arg
Merge pull request #14100 from electron/gn-arm-builds
Merge pull request #14099 from electron/vsts-gn-fix
Merge pull request #14089 from electron/appveyor-gn-simplify
Merge pull request #14017 from electron/node-gn
Merge pull request #14081 from electron/vs2017-15-4-5
Merge pull request #14049 from electron/fix-flaky-sandbox-tests
Merge pull request #14045 from electron/enable-mixed-sandbox
Merge pull request #13877 from electron/gn-ci-win-appveyor
Merge pull request #13828 from nornagon/gn-ci-mac
Merge pull request #13784 from electron/fix-enable-disable-features
Merge pull request #13801 from electron/update-ch-upgrade-docs
Merge pull request #13747 from nornagon/nornagon/gn-ci-builds
Merge pull request #13739 from electron/fix-rebuild-native-modules
Merge pull request #13748 from electron/gn-win32
Merge pull request #13746 from electron/gn-refactor
Merge pull request #13736 from electron/build--make-nightly-filenames-more-guessable-with-YMD-format
Merge pull request #13737 from electron/build--do-not-load-dotenv-on-CI
Merge pull request #13543 from electron/ajm-win7-crash
Merge pull request #13724 from electron/windows-release-test-fix
Merge pull request #13359 from electron/release-notes-generator
Merge pull request #13725 from electron/node-headers
Merge pull request #13672 from brunolemos/patch-1
Merge pull request #13629 from electron/use-dot-env
Merge pull request #13662 from electron/nightly-updates
Merge pull request #13688 from electron/gn-custom-sysroot
Merge pull request #13664 from electron/tweak-release-docs
Merge pull request #13685 from electron/roll-libcc
Merge pull request #13673 from electron/fix-frameless-devtools-crash
Merge branch 'master' into use-dot-env
Merge pull request #13578 from electron/miniak/refactoring
Merge pull request #13660 from Tomyail/patch-1
Merge pull request #13636 from nornagon/gn-release
Merge pull request #13494 from electron/expect-short-specs
Merge pull request #13635 from electron/node-win32-lean-and-mean
Merge pull request #13634 from electron/node-clang
Merge pull request #13639 from torycl/torycl/current-master-libcc
Merge pull request #13603 from electron/fix-remote
Merge pull request #13515 from nornagon/gn-linux
Merge pull request #13597 from electron/release-updates
Merge pull request #13540 from electron/breakpad-compat
Merge pull request #13567 from electron/nightly-release-notifications
Merge pull request #13562 from electron/fix-devtools
Merge pull request #13463 from electron/remove_wtl
Merge pull request #13379 from electron/native-mate-in-electron
Merge pull request #13322 from electron/pepper_flash_feature
Merge pull request #13377 from electron/chromium-style-win
Merge pull request #13376 from electron/gn-windows-deps
Merge 'native_mate' into 'electron'
Merge pull request #13366 from c960657/patch-1
Merge pull request #30 from electron/chromium-66-upgrade
Merge pull request #13334 from electron/mas-fix-linking
Merge pull request #13327 from electron/fix-tls
Merge pull request #13283 from jack-teng1/fix-asar-pack-cant-find-module
Merge pull request #13301 from electron/revert-frame-sub-deprecation
Merge pull request #13298 from electron/update-libcc-ref
Merge pull request #13296 from electron/miniak/drop-macos-10.9
Merge pull request #13267 from electron/expect-debugger-spec
Merge branch 'master' into expect-debugger-spec
Merge pull request #13269 from electron/expect-desktop-capturer-spec
Merge pull request #13291 from electron/slightly-rewrite-webview-tests
Merge pull request #13294 from electron/MarshallOfSound-patch-1
Merge pull request #13292 from electron/fix-release-tests
Merge pull request #12477 from electron/upgrade-to-chromium-66
Merge pull request #13099 from electron/breaking-changes
Merge pull request #13187 from LostPlayer99/patch-1
Merge pull request #13110 from electron/entry-and-button
Merge pull request #13241 from electron/test-releases
Merge pull request #13215 from electron/add-space
Merge pull request #13142 from pravdomil/patch-1
Merge pull request #13124 from nornagon/node-configure
Merge branch 'master' into breaking-changes
Merge pull request #13052 from electron/fix-vs2017-release
Merge pull request #13050 from electron/3.0.0-deprecations
Merge pull request #13005 from nornagon/gn-docs
Merge pull request #13103 from dsandler/patch-1
Merge pull request #13101 from electron/deprecate-property
Merge pull request #13066 from barinali/fix/dock-link
Merge pull request #13067 from electron/docs--fix-wrapping-of-welcome-comment
Merge pull request #13058 from electron/symserver-posix
Merge pull request #13044 from electron/more-view-apis
Merge pull request #13042 from electron/nightly-release-builds
Merge pull request #13030 from electron/miniak/member-init
Merge pull request #12999 from electron/miniak/native-mate
Merge pull request #12995 from electron/web-contents-view-tests
Merge pull request #12987 from electron/fix-arm-release-build
Merge pull request #12993 from electron/electron-download-4.x
Merge pull request #12991 from electron/drop-arm-alias-builds
Merge pull request #34 from electron/remove-compat
Merge pull request #12921 from electron/commit-package-lock
Merge pull request #12844 from didrocks/fix-communitheme-session
Merge pull request #12496 from mikeykhalil/8952-ignore-tray-double-click-events
Merge pull request #12954 from electron/web-dialog-helper
Merge pull request #12948 from nornagon/node-config
Merge pull request #12858 from electron/api-view
Merge pull request #12837 from nornagon/build-gn
Merge pull request #12805 from electron/update-blacklist-switches
Merge pull request #12912 from chicoxyzzy/patch-1
Merge pull request #12913 from electron/update-libcc-ref
Merge pull request #12904 from electron/fix-12875
Merge pull request #12900 from electron/make-httpReferrer-docs-consistent
Merge pull request #12896 from electron/remove-chai-as-promised-from-top-level-package-json
Merge pull request #12892 from electron/skip_pdf_resource
Merge pull request #12885 from nornagon/is-desktop-unity
Merge pull request #12884 from nornagon/views-defines
Merge pull request #12882 from nornagon/gn-includes
Merge pull request #12870 from electron/remove-macci-refs
Merge pull request #12847 from electron/friendly-docs
Merge pull request #12532 from electron/native-arm-mksnapshot
Merge pull request #12836 from electron/revert-12833-update-templates
Merge pull request #12787 from electron/mac-content-view
Merge pull request #12822 from stephanwlee/stephanwlee-patch-1
Merge pull request #12781 from electron/more-code-signing
Merge pull request #12756 from electron/support-policy
Merge pull request #12736 from electron/update-updates-tutorial
Merge pull request #12716 from electron/share-more-window-code
Merge pull request #33 from nornagon/build-gn
Merge pull request #12662 from electron/prevent-default
Merge pull request #12696 from electron/mac-use-widget
Merge pull request #12627 from vijaypushkin/patch-1
Merge pull request #12660 from electron/mac-views
Merge the logic of managing ViewsDelegate
Merge pull request #12669 from electron/MarshallOfSound-patch-1
Merge pull request #12647 from nornagon/chromium-style
Merge pull request #12650 from electron/clang-format-chromium-src
Merge pull request #12637 from electron/expose-toplevel-window
Merge pull request #12649 from electron/clang-format-brightray
Merge pull request #12648 from electron/clang-format-atom
Merge pull request #11328 from electron/add-env-to-release-docs
Merge pull request #12646 from electron/new-base-bind-converters
Merge pull request #12616 from electron/fix-copy-to
Merge pull request #12619 from electron/add-before-update-event
Merge pull request #31 from electron/fix-ci
Merge pull request #23 from electron/promise
Merge pull request #29 from electron/revert-c66-change
Merge pull request #12595 from Zhangdroid/fix-broken-url
Merge pull request #12577 from TiagoDanin-Forks/DeadURLs
Merge pull request #27 from electron/fix-to-details-string-call
Merge pull request #12601 from electron/makeunique-replace
Merge pull request #12584 from electron/no-webcontents-in-constructor
Merge pull request #25 from nitsakh/fix-update-ch
Merge pull request #11959 from yuya-oc/filter-for-mac-dialog
Merge pull request #12542 from natsuozawa/patch-1
Merge pull request #24 from electron/remove_independent_lifetime
Merge pull request #21 from yzgyyang/master
Merge pull request #12168 from electron/easier-web-contents-preferences
Use Clone explicitly instead of MergeDictionary
Merge pull request #12399 from electron/now-we-call-ourselves-electrocats
Merge pull request #12348 from electron/fix-browser-view-draggable-region
Merge pull request #11459 from electron/upgrade-to-chromium-63
Merge pull request #12351 from electron/update-to-node8
Merge pull request #12328 from electron/delay_load
Merge pull request #12198 from electron/fix_crash_handler
Merge pull request #12253 from felixrieseberg/fix-last-crash-report
Merge pull request #12190 from electron/fix-double-preload-master
Merge pull request #12241 from electron/sw-file-scheme-flaky-patch
Merge pull request #12228 from electron/fix-window-open-not-showing
Merge pull request #12202 from electron/readme-heading
Merge pull request #12196 from electron/fix_run_as_node
Merge pull request #12101 from electron/upgrade-node-v9.7.0
Merge pull request #12187 from electron/ia32-more-debug
Merge pull request #12167 from lyallh/menubar-autohide-fix
Merge pull request #12080 from electron/build-on-arm64-hw
Merge pull request #12155 from electron/modify-deprecation-guarantee
Merge branch 'master' into add-env-to-release-docs
Merge pull request #12140 from electron/native-window-no-web-contents
Merge pull request #12105 from electron/update-references-to-renamed-i18n-repo
Merge pull request #12103 from electron/fix-broken-links
Merge pull request #12131 from nitsakh/xcode-debugging
Merge pull request #11613 from electron/safe-dialogs
Merge pull request #12135 from electron/deprecate-getMenuBarHeight
Merge pull request #12058 from philfreo/patch-1
Merge pull request #12127 from electron/set-dev-version-everywhere
Merge pull request #12113 from electron/FranzDeCopenhague-patch-1
Merge pull request #12059 from electron/add-tabbedwindow-warning
Merge pull request #12067 from electron/fix-typo-in-inAppPurchase-API-doc
Merge pull request #11607 from bughit/frame_navigation_api
Merge pull request #11230 from electron/upgrade-to-chromium-62
Merge pull request #12043 from kaylieEB/fix-menu-item
Merge views::CustomButton into views::Button.
Merge pull request #12008 from electron/window-refactor-1
Merge pull request #12013 from electron/release-fix
Merge pull request #12004 from electron/window-rename
Merge pull request #12003 from electron/tools-new-api
Merge pull request #11937 from electron/groundwater-patch-1
Merge pull request #12000 from kalikiana/quoted-snap-version
Merge pull request #11966 from electron/documentation-overhaul
Merge pull request #11968 from electron/refactor-menu-popup
Merge pull request #11999 from electron/no_execstack
Merge pull request #11963 from perlun/patch-1
Merge pull request #11956 from brenca/transparent-window-devtools-fix
Merge pull request #11981 from electron/set-tray-highlightmode
Merge pull request #11973 from electron/remove-clipboard-methods
Merge pull request #11974 from electron/remove-setZoomLevelLimits
Merge pull request #11972 from electron/remove-setextra-param
Merge pull request #19 from electron/get-wrapper-const
Merge pull request #11961 from electron/fix-bw-callback
Merge pull request #11950 from electron/semver-doc-tweaks
Merge pull request #11944 from electron/update-native-mate
Merge pull request #11804 from electron/fix-protocol-origin-filtering
Merge pull request #11879 from electron/fix-gtk-deprecations
Merge pull request #11925 from electron/squirrel-mac-cdn
Merge pull request #11654 from sethlu/set-notification-close-button-text
Merge pull request #11647 from sethlu/accept-additional-notification-actions
Merge pull request #11921 from electron/allow-osr-console-message
Merge pull request #11918 from dakeshi/fix-typo-docs
Revert "Merge pull request #11737 from kwonoj/feat-cache-capacity" (#11906)
Merge pull request #11501 from emmkimme/Enh_WebPrefs_Affinity_Option
Merge pull request #11903 from electron/update-release-for2
Merge pull request #11737 from kwonoj/feat-cache-capacity
Merge pull request #11595 from YurySolovyov/fileicon-task-scheduler
Merge pull request #11819 from kwonoj/feat-worditerator
Merge pull request #11897 from electron/fix-contrib-links
Merge pull request #11728 from brenca/osr-gpu-update-master
Merge pull request #11880 from nitsakh/better-ipc-logging
Merge pull request #11873 from electron/add-file-format-picker
Merge pull request #11881 from electron/update-zoom-level-doc
Merge pull request #11863 from electron/move-locale-test
Merge pull request #11855 from electron/vanessayuenn-patch-1
Merge pull request #11832 from electron/enable-window
Merge pull request #11841 from electron/vanessayuenn-patch-1
Merge pull request #11793 from electron/release-updates
Merge pull request #11836 from kaylieEB/master
Merge pull request #11774 from nitsakh/fix-invalid-utf
Merge pull request #11492 from timmyhadwen/master
Merge pull request #11417 from electron/power-monitor-shutdown-event-and-delay-api
Merge pull request #11354 from elegos/feature/create-dist-chromium-dir-option
Merge pull request #11806 from electron/security-docs-improvements
Merge pull request #11794 from electron/snapcraft-documentation
Merge pull request #11796 from electron/case-insensitive-blacklist
Merge pull request #11799 from electron/browserview-inherit-fix
Merge pull request #11798 from electron/shadowroot-deprecate-fix
Merge pull request #11776 from electron/parallel-releases
Merge pull request #11770 from electron/security-documentation
Merge pull request #11726 from electron/faster-compare-blacklist
Merge pull request #11758 from nicknish/nn/fix-typo-remote-api-docs
Merge pull request #11754 from electron/menu-events
Merge pull request #11747 from timfish/patch-1
Merge pull request #11704 from brenca/fix-10678
Merge pull request #11664 from loc/use_directx_capturer_win
Merge pull request #11565 from electron/add-load-file-helper
Merge pull request #11644 from brenca/tooltip-fix-master
Merge pull request #11662 from electron/fix-ia32-testing-for-forks
Merge pull request #11625 from nitsakh/mac-terminate
Merge pull request #11656 from electron/update-gyp
Merge pull request #11557 from josimi/master
Merge pull request #11545 from m1guelpf-forks/patch-1
Merge pull request #11292 from AdrienFery/in-app-purchase
Merge pull request #11272 from syntropy-ai/1-7-x
Merge pull request #11487 from electron/circleci-cross-arch-testing
Merge pull request #11589 from electron/fix-accelerator-problem
Merge pull request #11547 from electron/draggable_regions_patch
Merge pull request #11481 from teiles/master
Merge pull request #11538 from TiagoDanin-Forks/MD-PATH
Merge pull request #11428 from TechnicalSoup/patch-1
Merge pull request #11420 from joeydlee95/master
Merge pull request #11532 from sethlu/camelcase-menuitem-role
Merge pull request #11396 from electron/enable_base_dchecks
Merge pull request #11546 from electron/menu-callback
Merge pull request #11527 from electron/fix-buffer-crash-master
Merge pull request #11511 from HayateLaTech/patch-1
Merge pull request #11510 from electron/gin-use-node-platform
Merge pull request #11504 from kylecorry31/master
Merge pull request #11238 from electron/spellchecker_iframe_patch
Merge pull request #11495 from electron/libcc-latency-histogram-macros-patch
Merge pull request #11493 from electron/libcc-latency-histogram-macros-patch
Merge pull request #11466 from electron/cppcheck-diff-mode
Merge pull request #11264 from brenca/flash-menu-fix
Merge pull request #11233 from brenca/devtools-fix
Merge pull request #11092 from electron/provide-scheme-with-open-external-request
Merge pull request #11470 from electron/update-node-upgrade-doc
Merge pull request #11431 from electron/notifications-debugging
Merge pull request #10912 from Ajeey/patch-1
Merge pull request #11154 from electron/update-release-doc
Merge pull request #11279 from sethlu/openrecent
Merge pull request #11131 from hugomano/feature/isolated-world
Merge pull request #18 from electron/upgrade-to-chromium-63
Merge pull request #11467 from electron/leo-patch-1
Merge pull request #17 from sethlu/remove-getwrapper-dcheck
Merge pull request #11418 from electron/add-reg-defaults
Merge pull request #11426 from mikoto2000/patch-1
Merge pull request #11421 from lurch/patch-1
Merge pull request #11419 from electron/menu-bugs-take-two
Merge pull request #11415 from electron/revert-11385-async-menu
Merge pull request #11414 from electron/revert-11395-add-reg-defaults
Merge pull request #11283 from electron/fix-event-subscriber-race
Merge pull request #11385 from electron/async-menu
Merge pull request #11406 from xxczaki/master
Merge pull request #11395 from electron/add-reg-defaults
Merge pull request #11359 from electron/fix_spell_checker_crash
Merge pull request #11380 from electron/cifratila/enable-cfg
Merge pull request #11379 from TiagoDanin-Forks/upgrading_chromium_doc
Merge pull request #11356 from electron/replace-app-icon
Merge pull request #11370 from electron/fix_dchecks
Merge pull request #11321 from electron/add-setExtraParameter-deprecation
Merge pull request #11329 from electron/remove-classes-key
Merge pull request #11367 from electron/revert-to-old-name-of-versioning-doc
Merge pull request #11364 from electron/groundwater-patch-1
Merge pull request #11365 from electron/remove-appveyor-yml
Merge pull request #11355 from electron/fix-ci
Merge pull request #11342 from electron/add-python-dbusmock
Merge pull request #11316 from electron/hide-update-exe
Merge pull request #11168 from sethlu/fix-icns-color
Merge pull request #11032 from electron/version2
Merge pull request #11306 from electron/implement-linux-power-monitor
Merge pull request #10430 from electron/global-preloads
Merge pull request #11300 from electron/external-devtools
Merge pull request #11330 from electron/add-jenkins-timeout
Merge pull request #11297 from electron/remove-travis
Merge pull request #11271 from electron/dchecks
Merge pull request #11282 from Toinane/fix-documentation
Merge pull request #11311 from electron/fix-typos-in-structures
Merge pull request #11315 from insideGen/patch-1
Merge pull request #11317 from electron/asar-video
Merge pull request #11314 from electron/docs--use-full-image-URL
Merge pull request #11312 from electron/ipc-spec-split
Merge pull request #11301 from wlbentley/patch-1
Merge pull request #11186 from electron/update-linter-and-ts
Merge pull request #11302 from electron/update_pdf_viewer
Merge pull request #11255 from electron/fix-11245
Merge pull request #11256 from electron/fix-11244
Merge pull request #11291 from electron/fix-failing-spec
Merge pull request #11254 from electron/fix-11246
Merge pull request #11108 from oktapodia/feature/add-ansi-color-into-menu-title
Merge pull request #11166 from sethlu/openrecent
Merge pull request #16 from brenca/mark-independent-high-only
Merge pull request #11249 from electron/upgrading-chromium-tweaks
Merge pull request #11268 from electron/fix_crash
Merge pull request #11257 from electron/fix-11242
Merge pull request #11241 from electron/update-to-the-latest-libcc
Merge pull request #11144 from dittos/mas-login-helper-again
Merge pull request #11235 from electron/standard-10
Merge pull request #11253 from electron/fix-a-codeblock-in-the-upgrading-node-md
Merge pull request #11250 from electron/docs-lint-fix
Merge pull request #11247 from electron/use_sh_in_docs
Merge pull request #11240 from electron/upgrading_docs
Merge pull request #10213 from electron/upgrade-to-chromium-61
Merge pull request #11097 from brenca/resizable-win-fix
Merge ResourceRequestBodyImpl and ResourceRequestBody.
Merge pull request #11208 from electron/mips64el
Merge pull request #11224 from electron/browser-view-window
Merge pull request #11231 from Toinane/fix-doc
Merge pull request #11207 from kstar0714/master
Merge pull request #11217 from him2him2/_fix_README.md_HTTPS
Merge pull request #11225 from electron/get-current-browser-view
Merge pull request #11218 from him2him2/_fix_CI_BuildError
Merge https://github.com/kstar0714/electron
Merge pull request #11191 from electron/chromium_updates_guide
Merge pull request #11203 from electron/document-chromium_src-directory
Merge pull request #11204 from andykog/patch-2
Merge pull request #11199 from duswlsgur/branch
Merge pull request #11178 from electron/fenced-code-block-lang
Merge pull request #11133 from electron/skip-tests-that-should-be-skipped
Merge branch 'master' of github.com:electron/electron into branch
Merge pull request #11164 from electron/nstitlebar-hidden
Merge pull request #11059 from electron/clear-permissions-handler
Merge pull request #11170 from him2him2/fixREADMEHeaders
Merge pull request #11187 from electron/util-is-deprecation
Merge pull request #11167 from simast/menu-typings-fix
Merge pull request #11185 from electron/fs-optional-options
Merge pull request #11184 from electron/document-nucleus
Merge pull request #11158 from electron/execute-errors
Merge pull request #11117 from electron/add_deprecations_spec
Merge pull request #11171 from him2him2/electron.atom.io
Merge pull request #11176 from electron/proxy-crash-race
Merge pull request #10793 from ahmedmohamedali/master
Merge branch 'master' into ahmedmohamedali-master
Merge pull request #11153 from electron/update-ci-release
Merge pull request #11152 from electron/fix-typo-in-styleguide
Merge pull request #11145 from OuYancey/translation-link
Merge pull request #11125 from electron/fix-cert-verification-random-crash-on-exit
Merge pull request #11124 from electron/expose-desktop-capturer
Merge pull request #11099 from electron/fix-emit-call-crash
Merge pull request #11135 from electron/add_callbacks_spec
Merge pull request #11140 from electron/revert-10856-mas-login-helper
Merge pull request #11088 from electron/fix-link-to-crowdin
Merge pull request #11139 from electron/shall-we-got-a-cup-of-tea
Merge pull request #11126 from numaanashraf/patch-1
Merge pull request #11103 from electron/full-version-string
Merge pull request #11100 from Raul6469/docs_translations_link
Merge pull request #11008 from electron/implement-stream-protocol
Merge pull request #11093 from electron/fix-formatting-in-linux-build-instructions-doc
Merge pull request #10856 from dittos/mas-login-helper
Merge pull request #10923 from electron/nvidia-high-sierra-fix
Merge branch 'master' of https://github.com/ahmedmohamedali/electron
Merge pull request #10510 from brenca/osr-autofill-devtools-fix
Merge pull request #11087 from electron/abi-version
Merge pull request #11056 from ajmacd/allow-browser-window-logs
Merge pull request #11055 from electron/fix-menu-bug
Merge pull request #11039 from electron/deprecate-docs-translations
Merge pull request #11079 from sdj01044/add-korean-community
Merge pull request #11060 from electron/ts-artifact
Merge branch 'master' into master
Merge pull request #10997 from xxczaki/patch-1
Merge pull request #10990 from electron/fix-10988
Merge pull request #11058 from electron/forward-declare-scrubber-layout
Merge pull request #11054 from electron/jenkins-pipeline
Merge pull request #11000 from sdj01044/fix-korean-styleguide
Merge pull request #11009 from electron/docs-aumi-link
Merge pull request #11048 from Toinane/fix-doc
Merge pull request #11004 from electron/upgrade-ts-defs
Merge pull request #11038 from dashersw/master
Merge pull request #11022 from ChangJoo-Park/patch-2
Merge pull request #11005 from electron/revert-electron-download-version
Merge pull request #11001 from electron/ci-release-build-api
Merge pull request #11007 from electron/silly-typo-change
Merge pull request #11013 from electron/temporary-remove-a-deprecation-warning-from-crashreporter-setextraparameter
Merge pull request #10909 from electron/update_remote
Merge pull request #10936 from robinwassen/tray-docs-update
Merge pull request #10995 from electron/initialize-retroactive-event-emitters
Merge pull request #10992 from electron/address_crash_done
Merge pull request #10972 from electron/dpi-issues
Merge pull request #10974 from electron/add_crashreport_tests
Merge pull request #10977 from electron/refactor-native-image-tests
Revert "Merge pull request #10989 from electron/temporary-disable-visibility-state-tests"
Merge pull request #10989 from electron/temporary-disable-visibility-state-tests
Merge pull request #10987 from electron/upgrade_last_few_specs
Merge pull request #10954 from electron/less-process-metrics-warnings
Merge pull request #10943 from electron/ensure-contents-clicked
Merge pull request #10944 from electron/fix-notification-ref-crash
Merge pull request #10953 from electron/get-browser-view
Merge pull request #10922 from Siilwyn/patch-1
Merge pull request #10889 from electron/avoid-eventemitter-crashes
Merge pull request #10938 from electron/update_protocol_test
Merge pull request #10942 from electron/upgrade_specs
Merge pull request #10941 from electron/update_browser_view_spec
Merge pull request #10537 from qazbnm456/improve-content_scripts.css
Merge pull request #10902 from mattlyons0/master
Merge pull request #10899 from electron/turn-off-escape-analysis
Merge pull request #15 from mgc/muon-crash-workarounds
Merge pull request #10918 from pfrazee/fix-protocol-crash-error
Merge pull request #10911 from electron/fix_window_log_folder
Merge pull request #10888 from electron/menu_refactor
Merge pull request #10762 from nuriu/patch-1
Merge pull request #10890 from demopark/patch-4
Merge pull request #10711 from yuya-oc/did-attach-webview
Merge pull request #10896 from electron/update_desktop_capturer
Merge pull request #10900 from electron/issue-10877
Merge pull request #10893 from maxibanki/patch-1
Merge pull request #10874 from Toinane/master
Merge pull request #10873 from ahmedmohamedali/fix_issue_10697
Merge pull request #10839 from qazbnm456/update_docs
Merge pull request #10834 from Vehemos/master
Merge pull request #10829 from zombieleet/master
Merge pull request #10810 from qazbnm456/add_error_code_to_session_set_certificate_verify_proc
Merge pull request #10534 from robbix1206/npx_in_quickstart
Merge pull request #1 from zombieleet/zombieleet-patch-1
Merge pull request #10825 from electron/vanessayuenn-patch-1
Merge pull request #10696 from primalmotion/patch-1
Merge pull request #10812 from electron/fix_symbol_file_names
Merge pull request #10804 from robinwassen/optional-cpplint
Merge pull request #10709 from electron/fix-notification-actions-hs
Merge pull request #10795 from samthomson/docs/shell-open-external
Merge pull request #10612 from electron/notification-docs-fix
Merge pull request #10740 from demopark/patch-1
Merge pull request #10748 from demopark/patch-2
Merge pull request #10749 from demopark/patch-3
Merge pull request #10777 from reviforks/fix-korean-typo
Merge pull request #10773 from jeroenvisser101/patch-1
Merge pull request #10746 from electron/removeuserdefault
Merge pull request #10727 from electron/named-nativeimage
Merge pull request #10758 from electron/felixrieseberg-patch-1
Merge pull request #10759 from electron/revert-official-build
Merge pull request #10744 from robinwassen/docs-vs-download-link
Merge pull request #10688 from electron/retry-uploads
Merge pull request #10725 from electron/version-lock-escape-item
Merge pull request #10715 from electron/fix_toast_dpi_scaling
Merge pull request #10728 from excfergodst/patch-1
Merge pull request #10730 from excfergodst/excfergodst-smalldoc
Merge pull request #10719 from yunzhenhuan/patch-1
Merge pull request #10731 from excfergodst/patch-7
Merge pull request #5 from excfergodst/patch-6
Merge pull request #4 from excfergodst/patch-5
Merge pull request #3 from excfergodst/patch-4
Merge pull request #2 from excfergodst/patch-3
Merge pull request #10712 from electron/remove-default-deprecation
Merge pull request #10713 from electron/remote-node-warning-2
Merge pull request #10670 from electron/add-linuxdefaultprotocol
Merge pull request #10336 from electron/document-prereleases
Merge pull request #10633 from electron/update-default-app
Merge pull request #10708 from electron/remote-node-warning
Merge pull request #10694 from electron/official-build
Merge pull request #10361 from sbannigan/feature/tray-events
Merge pull request #10693 from makerGeek/patch-1
Merge pull request #10681 from fplucas/master
Merge pull request #10690 from electron/fix-tabbed-window-test
Merge pull request #10667 from dittos/window-opacity
Merge pull request #10680 from electron/idlewakeups-windows
Merge pull request #10661 from electron/browserview-multiple-screens
Merge pull request #10683 from electron/format-fix-bump-version
Merge pull request #10403 from electron/modify-bump-version
Merge remote-tracking branch 'upstream/master'
Merge pull request #10677 from rhysd/fix-doc-findInPage
Merge pull request #10676 from qazbnm456/fix-unhandle-null-pointer
Merge pull request #10508 from danielma/dma/native-tab-new-button
Merge pull request #10660 from electron/add_probot_stale
Merge pull request #10191 from electron/add_log_path_support
Merge pull request #10326 from develar/patch-4
Merge pull request #10483 from jublonet/fix-double-downloads
Merge pull request #10555 from electron/CODEOWNERS
Merge pull request #10627 from electron/fullscreen-drag
Merge pull request #10614 from electron/upload-overwrite
Merge pull request #10620 from electron/v8-promise-field
Merge pull request #10618 from electron/add-menuitembyid
Merge pull request #10609 from electron/win32_toast_update
Merge pull request #10611 from electron/fix-notification-source
Merge pull request #10573 from electron/add-clarification-about-main-process
Merge pull request #10517 from yuya-oc/win7-notification-duration
Merge pull request #10052 from electron/views-browserview-bounds
Merge pull request #10602 from electron/fix-singleton-test
Merge pull request #10592 from electron/revert-9603-printer-info-options
Merge pull request #10505 from qazbnm456/update-docs
Merge pull request #10542 from EthianWong/master
Merge pull request #10550 from ColMugX/patch-1
Merge pull request #10516 from electron/fix_notification_crash
Merge pull request #10520 from Alex-D/patch-1
Merge pull request #10518 from electron/fix-makesingleinstance
Merge pull request #10552 from electron/fix-shell-openItem
Merge pull request #10540 from bpasero/touchbar-docs
Merge pull request #10509 from kewde/patch-1
Merge pull request #9950 from alexstrat/fix-content-script-insecure-contents
Merge pull request #10076 from alexstrat/add/add-support-for-content_scripts.css
Merge pull request #10514 from electron/mac-crash
Merge pull request #9869 from rafaelnobrepd/handoff-enhancements
Merge pull request #9343 from xaviergonz/fix-osx-child-window-show
